State,Year,Crime_Total_Offense,Crime_Murder_Slaughter,Crime_Forcible_Rape,Crime_Robbery,Crime_Aggrevated_Assault,Crime_Property,Crime_Burglary,Crime_Larcency,Crime_Motor_Vehicle_Theft,Eco_Civilian_non_institutional_population,Eco_Total_Civilian_labourforce,Eco_Percent_of_population_Civilian_labourforce,Eco_Total_Employment_Civilian_labourforce,Eco_Percent_of_population_Employment_Civilian_labourforce,Eco_Total_Unemployment_Civilian_labourforce,Eco_Rate_Unemployment_Civilian_labourforce,Eco_Per_capita_disposable_personal_income,Eco_Per_Capita_GDP,Arms_AnyOtherWeapons,Arms_Combinations,Arms_Derringers,Arms_DestructiveDevices,Arms_FlareGuns,Arms_Machineguns,Arms_Pistols,Arms_Receivers_Frames,Arms_Revolvers,Arms_Rifles,Arms_Shotguns,Arms_Silencers,Arms_TearGasLaunchers,Arms_UnknownTypes,Arms_Total_Weapons,RPPs_All_items,RPPs_Goods,RPPs_Services_Rents,RPPs_Services_Other,Marijuana_Use_PastYear, Marijuana_Use_PastMonth,Cocaine,Alcohol,Tobacco,Cigarette,Serious_Mental_Illness,Any_Mental_Illness,Serious_Suicide_Thoughts,Major_Depression,Economic_BigMacIndex,Economic_HappinessIndex,PF_Total_law_enforcement_employees,PF_Total_officers_Male,PF_Total_officers_Female,PF_Total_Officers,PF_Total_civilians_Male,PF_Total_civilians_Female,PF_Total_civilians,PF_Number_of_agencies,PF_estimated_population
RHODE ISLAND,2015,42648,29,459,556,1518,20043,3947,14707,1389,855230,554426,64.8,521209,60.9,33217,6,44320,50278,0,0,4,0,0,0,237,0,77,40,19,0,0,0,377,99.9,98.4,100.2,101.5,158,110,22,526,207,170,37,170,37,59,4.8,7.1,3065,2260,181,2441,264,360,624,49,1056298
SOUTH CAROLINA,2015,347190,399,2297,3931,18073,161245,34551,113724,12970,3819176,2272996,59.5,2137158,56,135838,6,35531,38819,1,6,31,0,1,10,2577,7,946,1135,1548,0,0,15,6277,90.3,96.8,76.3,93.3,464,304,64,1833,1125,929,150,644,137,238,4.8,7.1,15943,10105,1365,11470,1821,2652,4473,374,4766016
SOUTH DAKOTA,2015,36649,32,495,216,2546,16680,2960,12532,1188,647703,449844,69.5,435901,67.3,13943,3.1,44265,53212,1,0,20,0,0,1,218,0,52,133,72,0,0,0,497,88,94.9,68.5,90.8,67,44,7,396,188,149,26,110,23,38,4.8,7.1,2598,1404,97,1501,502,595,1097,111,715590
TENNESSEE,2015,427992,406,2676,7474,29844,193796,43247,137679,12870,5155869,3057301,59.3,2885145,56,172156,5.6,38925,45756,0,0,70,1,2,24,5189,21,1619,1082,793,0,2,38,8841,89.9,96.3,73.7,93.3,549,317,81,2340,1532,1220,217,988,212,347,4.8,7.1,26722,15082,1531,16613,5093,5016,10109,451,6596144
TEXAS,2015,1668705,1316,12250,31934,67727,777739,153054,557200,67485,20513450,13087237,63.8,12505617,61,581620,4.4,41841,58113,4,8,159,7,0,56,13331,103,3002,2995,2119,5,0,28,21817,96.7,97.2,92.9,98.6,1937,1174,294,10264,4935,4103,654,3127,678,1112,4.8,7.1,71811,40116,5335,45451,10832,15528,26360,777,21727003
UTAH,2015,185627,54,1645,1326,4046,89278,12468,68103,8707,2139595,1460136,68.2,1407186,65.8,52950,3.6,36346,47522,1,1,6,0,0,7,699,9,202,250,137,2,0,0,1314,96.4,96.6,91.1,99.5,185,104,19,713,348,304,93,417,107,143,4.8,7.1,7157,4545,320,4865,991,1301,2292,133,2988837
VERMONT,2015,18351,10,136,101,492,8806,1968,6660,178,514351,344697,67,332432,64.6,12265,3.6,44447,46234,0,1,1,0,0,3,74,1,40,74,30,0,0,0,224,102.7,98.4,117,101.4,104,75,14,324,145,117,24,101,23,40,4.8,7.1,1448,1037,112,1149,109,190,299,83,591114
VIRGINIA,2015,329339,383,2340,4441,9235,156470,21340,127019,8111,6491036,4216679,65,4028801,62.1,187878,4.5,46160,54408,4,4,49,2,1,21,4794,23,1146,1055,718,3,0,3,7823,102.6,99.8,111.7,100.5,725,423,82,3505,1689,1363,279,1203,247,498,4.8,7.1,23934,16535,2234,18769,1480,3685,5165,284,8380034
WASHINGTON,2015,517132,211,2705,5449,12029,248369,50993,170509,26867,5616805,3550573,63.2,3350352,59.6,200221,5.6,48029,62024,0,1,36,1,0,13,1993,19,552,886,431,2,0,5,3939,105.2,104.4,113.1,101.7,954,616,105,3338,1276,1016,239,1062,245,405,4.8,7.1,14600,9361,980,10341,1622,2637,4259,255,7147814
WEST VIRGINIA,2015,80733,70,672,760,4729,37251,9170,25842,2239,1479473,781427,52.8,728778,49.3,52649,6.7,33299,37871,0,6,15,0,0,5,527,3,151,521,219,1,0,5,1453,88.7,94.6,66,95,158,101,23,635,570,456,78,301,61,119,4.8,7.1,4708,3556,250,3806,279,623,902,358,1833500
WISCONSIN,2015,245495,240,1780,5232,10395,113924,19554,83385,10985,4544009,3091723,68,2951132,64.9,140591,4.5,41242,49847,3,3,23,2,0,0,2468,3,468,478,316,2,0,2,3768,93,95.9,85.8,93.1,521,300,74,2872,1193,971,175,824,184,288,4.8,7.1,18474,11037,1735,12772,2436,3266,5702,406,5762062
WYOMING,2015,23604,16,173,59,1054,11151,1762,8797,592,450648,304112,67.5,290987,64.6,13125,4.3,51097,67831,0,0,1,0,0,2,91,0,36,63,18,0,0,0,211,96.4,99.4,91.5,95.2,46,27,5,257,144,113,19,85,18,33,4.8,7.1,1897,1159,135,1294,204,399,603,57,542663
ALABAMA,2016,312610,407,1916,4686,18877,143362,34065,97574,11723,3814627,2182558,57.2,2055251,53.9,127307,5.8,35390,39211,9,1,59,3,0,24,3804,3,857,736,437,2,0,13,5948,86.1,96.1,63.1,91.8,348,193,48,1626,1140,901,156,680,132,245,5,7.1,6767,,,5177,,,1590,,2106015
ALASKA,2016,55718,52,1053,850,4011,24876,4053,17766,3057,545860,361791,66.3,336979,61.7,24812,6.9,51197,71091,0,0,3,0,0,3,521,2,138,282,147,0,0,2,1098,105.7,101.8,137.4,96.9,123,87,12,301,167,132,24,105,27,39,5,7.1,1200,,,755,,,445,,478351
ARIZONA,2016,445447,380,3290,7055,21858,206432,37736,150275,18421,5381882,3236294,60.1,3063017,56.9,173277,5.4,36513,41669,5,5,69,2,1,26,5321,36,1107,1377,812,15,0,16,8792,95.8,95.7,91.7,98.9,631,385,113,2857,1206,1008,208,902,206,310,5,7.1,12132,,,8672,,,3460,,5394840
ARKANSAS,2016,211807,216,2143,2120,11982,97673,23771,66747,7155,2310612,1339525,58,1286419,55.7,53106,4,36191,38309,0,2,22,0,0,14,1592,6,501,478,370,0,0,108,3093,86.8,94.8,63.7,92.4,249,159,29,967,756,625,121,468,100,181,5,7.1,5112,,,3992,,,1120,,1840569
CALIFORNIA,2016,2178936,1930,13702,54789,104375,1002070,188304,637010,176756,30590353,19021176,62.2,17980080,58.8,1041096,5.5,49654,63853,7,22,269,12,1,114,19694,88,6888,7594,4280,15,2,48,39034,114.7,103.9,148.2,107.1,4894,3206,767,15951,5421,4586,1068,5072,1173,1786,5,7.1,52218,,,37676,,,14542,,27137339
COLORADO,2016,322683,204,3555,3528,11696,151850,23903,108336,19611,4318998,2891677,67,2796966,64.8,94711,3.3,45506,57184,0,3,37,1,0,8,2814,10,704,734,432,3,0,18,4764,101.7,98.2,117.5,96.6,988,689,106,2586,947,752,191,832,203,316,5,7.1,9511,,,7138,,,2373,,4011535
CONNECTICUT,2016,137451,78,763,2703,4579,64664,10045,47512,7107,2873564,1891786,65.8,1794477,62.4,97309,5.1,59098,67855,0,1,3,1,0,4,395,6,137,69,157,0,0,0,773,107.3,103.3,115.2,107,421,264,74,1774,665,539,100,500,104,190,5,7.1,7595,,,6438,,,1157,,3060185
DELAWARE,2016,57512,56,308,1359,3121,26334,5023,19791,1520,753577,471852,62.6,450526,59.8,21326,4.5,42955,66506,0,0,9,1,0,2,650,0,180,122,113,0,0,0,1077,100,98.7,97.1,103.3,95,66,15,409,177,150,31,129,32,48,5,7.1,995,,,821,,,174,,262629
FLORIDA,2016,1196324,1111,7598,20175,59816,553812,100325,410352,43135,16606418,9805927,59,9335870,56.2,470057,4.8,41022,42047,18,9,113,5,0,45,12675,31,3055,2251,1272,4,0,9,19487,100.1,98.2,106,98,2096,1232,277,9172,3520,2851,570,2769,535,979,5,7.1,24951,,,18486,,,6465,,8741268
GEORGIA,2016,660530,681,3509,12205,24595,309770,63344,219625,26801,7881086,4913607,62.3,4649755,59,263852,5.4,37961,48367,0,2,108,3,3,36,9818,41,2063,1185,777,3,0,3,14042,92.7,97.1,81.1,95.9,955,552,157,3800,2033,1627,315,1341,298,508,5,7.1,9374,,,7570,,,1804,,3067288
HAWAII,2016,89923,35,619,994,2769,42753,6017,31082,5654,1092963,683223,62.5,663056,60.7,20167,3,45509,55273,0,0,1,0,0,3,70,1,29,63,35,0,0,0,202,118.9,112.1,157.2,103.4,138,88,22,501,208,169,34,165,40,57,5,7.1,2537,,,2042,,,495,,995572
IDAHO,2016,62590,49,719,213,2895,29357,6318,20962,2077,1273102,814668,64,783891,61.6,30777,3.8,36547,38954,2,0,8,0,0,14,572,8,146,206,102,0,0,0,1058,92.2,97.1,77.5,96.2,141,86,16,594,278,227,60,262,59,92,5,7.1,1905,,,1446,,,459,,996522
ILLINOIS,2016,580466,1054,4908,17827,32065,262306,47989,194407,19910,10048475,6542013,65.1,6161676,61.3,380337,5.8,45740,58279,13,5,125,1,1,20,7908,9,2369,1101,906,0,0,9,12467,98.7,98.7,98.4,98.8,1199,779,181,5628,2378,1969,363,1526,377,545,5,7.1,21979,,,19177,,,2802,,6821952
INDIANA,2016,370363,439,2501,7330,16575,171759,34097,122931,14731,5145316,3328373,64.7,3181085,61.8,147288,4.4,39144,47727,1,5,51,2,1,4,4773,5,1010,691,487,1,0,0,7031,89.7,96.4,73.7,92.1,661,442,70,2724,1537,1224,244,988,227,381,5,7.1,4077,,,3610,,,467,,1846501
IOWA,2016,139892,71,1247,1148,6644,65391,15030,45378,4983,2440973,1689799,69.2,1628686,66.7,61113,3.6,41467,53931,0,3,13,0,0,4,1016,2,235,295,286,0,0,3,1857,90,95,75.1,91.5,228,129,30,1471,706,549,93,418,93,158,5,7.1,3580,,,3004,,,576,,2020231
KANSAS,2016,167794,111,1312,1671,7966,78367,14364,57066,6937,2212520,1483633,67.1,1423730,64.3,59903,4,42642,51507,0,2,22,0,0,30,1709,4,304,369,262,0,0,1,2703,90.1,95.4,74.5,93,235,149,28,1289,569,437,93,387,101,154,5,7.1,4810,,,3851,,,959,,2140280
KENTUCKY,2016,204624,260,1641,3369,5038,97158,20834,66438,9886,3458533,2015160,58.3,1911978,55.3,103182,5.1,35361,41147,3,0,30,0,0,8,2856,8,645,447,293,1,1,63,4355,87.5,94.6,67.1,91.7,428,237,59,1473,1228,1017,175,737,170,252,5,7.1,1687,,,1422,,,265,,695299
LOUISIANA,2016,335274,554,1816,5576,18556,154386,34667,109380,10339,3581818,2120980,59.2,1992249,55.6,128731,6.1,38747,48791,5,1,53,0,0,4,5229,10,1238,1015,717,8,0,2,8282,89.9,96.4,76.1,92.4,392,240,64,1888,1141,968,157,599,147,225,5,7.1,6544,,,5291,,,1253,,1874388
MAINE,2016,45472,20,412,266,950,21912,4003,17134,775,1093903,690983,63.2,664838,60.8,26145,3.8,40022,41291,0,0,5,0,0,0,180,0,37,73,51,0,0,0,346,99.4,99.2,94.3,102.5,213,160,20,646,271,224,46,187,40,76,5,7.1,1923,,,1576,,,347,,842480
MARYLAND,2016,303290,481,1756,10289,15874,137445,24692,100919,11834,4712541,3166204,67.2,3025243,64.2,140961,4.5,51103,59437,3,4,53,17,0,19,3850,75,1388,1852,1391,6,1,6,8665,109,103.1,121.8,106.4,716,478,89,2763,1082,877,156,758,175,307,5,7.1,5143,,,4311,,,832,,1307725
MASSACHUSETTS,2016,238355,134,2128,5365,18050,106339,19193,79088,8058,5540886,3617530,65.3,3477553,62.8,139977,3.9,55473,70192,0,0,7,1,0,4,1155,94,353,235,100,0,1,1,1951,109.2,102.3,122.8,108.1,1017,649,160,3398,1171,960,231,1034,212,400,5,7.1,15490,,,13008,,,2482,,6329307
