State,Year,Crime_Total_Offense,Crime_Murder_Slaughter,Crime_Forcible_Rape,Crime_Robbery,Crime_Aggrevated_Assault,Crime_Property,Crime_Burglary,Crime_Larcency,Crime_Motor_Vehicle_Theft,Eco_Civilian_non_institutional_population,Eco_Total_Civilian_labourforce,Eco_Percent_of_population_Civilian_labourforce,Eco_Total_Employment_Civilian_labourforce,Eco_Percent_of_population_Employment_Civilian_labourforce,Eco_Total_Unemployment_Civilian_labourforce,Eco_Rate_Unemployment_Civilian_labourforce,Eco_Per_capita_disposable_personal_income,Eco_Per_Capita_GDP,Arms_AnyOtherWeapons,Arms_Combinations,Arms_Derringers,Arms_DestructiveDevices,Arms_FlareGuns,Arms_Machineguns,Arms_Pistols,Arms_Receivers_Frames,Arms_Revolvers,Arms_Rifles,Arms_Shotguns,Arms_Silencers,Arms_TearGasLaunchers,Arms_UnknownTypes,Arms_Total_Weapons,RPPs_All_items,RPPs_Goods,RPPs_Services_Rents,RPPs_Services_Other,Marijuana_Use_PastYear, Marijuana_Use_PastMonth,Cocaine,Alcohol,Tobacco,Cigarette,Serious_Mental_Illness,Any_Mental_Illness,Serious_Suicide_Thoughts,Major_Depression,Economic_BigMacIndex,Economic_HappinessIndex,PF_Total_law_enforcement_employees,PF_Total_officers_Male,PF_Total_officers_Female,PF_Total_Officers,PF_Total_civilians_Male,PF_Total_civilians_Female,PF_Total_civilians,PF_Number_of_agencies,PF_estimated_population
MICHIGAN,2016,424812,598,7125,7120,30729,189620,39568,129876,20176,7915135,4847009,61.2,4605820,58.2,241189,5,39653,45452,7,2,39,3,0,11,3783,14,855,869,581,0,1,9,6174,92.8,97.4,80.9,94.8,1205,824,118,4391,2197,1820,339,1320,298,521,5,7.1,11957,,,10082,,,1875,,6226756
MINNESOTA,2016,248906,101,2348,3728,7217,117756,18606,90422,8728,4316697,3035242,70.3,2918185,67.6,117057,3.9,45889,57785,6,2,21,0,0,6,1694,4,399,581,491,0,0,5,3209,97.8,101.9,95.3,94.6,538,311,78,2694,1059,836,177,759,173,292,5,7.1,6877,,,5746,,,1131,,3926324
MISSISSIPPI,2016,173847,238,1277,2397,4471,82732,23354,55054,4324,2283640,1278447,56,1204372,52.7,74075,5.8,32612,33688,0,2,47,0,0,3,2589,2,831,530,456,0,0,2,4462,86,94.1,64.9,91.7,207,127,30,884,731,577,86,385,83,133,5,7.1,2137,,,1525,,,612,,620989
MISSOURI,2016,372742,537,2554,6570,21983,170549,31710,120544,18295,4752150,3081333,64.8,2941072,61.9,140261,4.6,39422,45259,1,3,32,2,0,14,4589,8,828,735,430,2,0,7,6651,89.5,95.6,73,92.2,609,382,63,2556,1454,1135,192,828,160,321,5,7.1,11234,,,8775,,,2459,,3725834
MONTANA,2016,59792,36,578,266,2960,27976,3934,21299,2743,823034,522497,63.5,500830,60.9,21667,4.1,38989,42528,0,2,6,0,0,8,333,6,150,280,95,2,1,2,885,93.4,98,80.9,94.6,147,98,15,492,243,177,43,164,42,62,5,7.1,935,,,758,,,177,,466462
NEBRASKA,2016,91876,49,994,946,3561,43163,6444,31994,4725,1451675,1009202,69.5,978237,67.4,30965,3.1,44524,58150,0,2,12,1,0,4,852,2,182,244,213,0,0,1,1513,90.1,95.1,76.1,91.6,159,103,21,901,401,323,58,258,62,98,5,7.1,2432,,,1960,,,472,,1210952
NEVADA,2016,172030,224,1733,6340,11639,76047,18850,44017,13180,2278170,1425451,62.6,1344258,59,81193,5.7,40005,47744,0,1,3,0,0,3,608,8,159,165,86,2,0,0,1035,96,94.4,94.6,99.3,286,181,43,1209,558,472,93,404,95,162,5,7.1,6619,,,4538,,,2081,,2546405
NEW HAMPSHIRE,2016,43025,17,582,427,1611,20194,2963,16360,871,1096623,751500,68.5,730066,66.6,21434,2.9,50336,54247,1,0,1,0,0,9,142,0,32,40,24,0,0,1,250,106.8,101.3,118.1,106.1,188,131,31,720,273,216,53,204,53,84,5,7.1,2812,,,2241,,,571,,1233954
NEW JERSEY,2016,298218,372,1453,8984,11105,138152,25284,101540,11328,7029521,4473781,63.6,4251211,60.5,222570,5,54056,60867,0,1,32,0,0,7,2268,6,937,367,296,0,0,4,3918,114.1,102.4,132.4,116.5,832,471,141,3971,1422,1174,244,1062,246,421,5,7.1,23865,,,19622,,,4243,,8588758
NEW MEXICO,2016,178481,139,1526,2737,10217,81931,17281,52907,11743,1617156,936723,57.9,874970,54.1,61753,6.6,35372,43635,1,0,18,0,0,3,1371,9,298,314,215,0,0,1,2230,92.4,95.6,80.1,98.1,247,165,31,817,422,344,69,298,66,104,5,7.1,2126,,,1512,,,614,,740890
